"Comparison","DF","pseudo_F","R2","p_value","omega_sq","power"
"All_Control_vs_Test",1,2.39198166697757,0.0330420802400647,0.001,0.0189663998077311,1
"Wk-2_Control_vs_Test",1,1.03779706291784,0.0609114581589056,0.37,0.00209543675350176,0.474747474747475
"Baseline_Control_vs_Test",1,0.941709803487986,0.0555852871056796,0.578,-0.00324886519459152,0.585858585858586
"Wk2_Control_vs_Test",1,1.80262672612339,0.101256222121325,0.014,0.0426869467662338,0.97979797979798
"Wk12_Control_vs_Test",1,0.907228917345551,0.0536592319049281,0.658,-0.00518064984161721,0.595959595959596
"Control_Baseline_vs_Wk2",1,0.366718765625929,0.0224063705668437,0.995,-0.0364652208008072,0.131313131313131
"Test_Baseline_vs_Wk2",1,1.4771151366709,0.0845171028009984,0.095,0.0258219496464568,0.818181818181818
